model,accent_pool,n_samples,d_bar_inter,d_bar_intra,rho,silhouette_mean,davies_bouldin,calinski_harabasz,nearest_accent,alignment_spearman,mandarin_mode
data2vec-audio-b,test_val,10490,0.5531035021385692,0.7298209453923421,0.7578619085296447,-0.12621928751468658,8.223067068188419,254.97373005376778,东南,,hash_test
ecapa-tdnn,test_val,10490,172.3589064362791,237.12280882939655,0.726876116557045,0.035860661417245865,4.024551329005103,231.466012970652,东南,,hash_test
hubert-en-b,test_val,10490,2.881505332579103,2.5092564574653347,1.148350266280189,-0.013136796653270721,4.931684773458583,522.092014442422,闽南,,hash_test
hubert-zh-b,test_val,10490,1.783596963341009,1.5432248208843056,1.1557596324567718,0.00947508867830038,4.770460243472296,605.2518664365432,北京,,hash_test
rawnet3,test_val,10490,9.295336320989566,10.989585633269225,0.8458313736953919,0.03598659485578537,4.0556098665861,289.8202327084918,东南,,hash_test
resnet-voxceleb,test_val,10490,10.382845494302227,14.007000524521745,0.7412611621390746,0.04009980335831642,3.897726952748482,236.62184563954324,西南,,hash_test
unispeech-sat-b,test_val,10490,2.978606206759921,2.657057054558491,1.1210170253738454,-0.022163255140185356,5.535646871244284,534.722009007565,闽南,,hash_test
w2v2-en-b,test_val,10490,1.3209421270597854,1.3978532872225682,0.944979083058573,-0.11275293678045273,7.596700766988562,567.2391668599726,闽南,,hash_test
w2v2-zh-b,test_val,10490,0.22615379021142526,0.2921556551759994,0.774086616034594,-0.09086306393146515,7.540189528429256,242.1074682672583,东南,,hash_test
wavlm-b,test_val,10490,3.1919397409892554,2.806721380531796,1.1372485177035943,-0.023814085870981216,5.3333263778388975,515.289880812245,闽南,,hash_test
whisper-base,test_val,10490,2.959418281764487,2.752326003150273,1.07524263754539,0.0030235559679567814,6.286181166788907,407.87600726633934,山西,,hash_test
xvect-voxceleb,test_val,10490,94.02755319186255,75.68708945578202,1.242319579938032,0.03681888058781624,4.018190111582556,563.5653204417792,东南,,hash_test
