model,seed,acc,mf1,uar,roc_auc,pr_auc,eer
data2vec-audio-b,42,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999984678419953,0.9999987253908799,0.0006064281382656155
data2vec-audio-b,43,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999981614103943,0.9999984699279325,0.0006064281382656155
data2vec-audio-b,44,0.9991730981256891,0.9991661573898611,0.9991409190067571,0.9999984678419953,0.9999987253908799,0.0006064281382656155
ecapa-tdnn,42,0.9977949283351709,0.9977769791732727,0.9978776547318708,0.9999898877571689,0.999991599762593,0.0018192844147968466
ecapa-tdnn,43,0.9994487320837927,0.9994440766892223,0.9993935718617344,0.9999963228207887,0.9999969341809678,0.001212856276531231
ecapa-tdnn,44,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9999984678419953,0.99999872654811,0.0005053057099545225
hubert-en-b,42,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,0.9999999999999999,0.0
hubert-en-b,43,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
hubert-en-b,44,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
hubert-zh-b,42,1.0,1.0,1.0,1.0,0.9999999999999999,0.0
hubert-zh-b,43,1.0,1.0,1.0,1.0,1.0,0.0
hubert-zh-b,44,1.0,1.0,1.0,1.0,1.0,0.0
rawnet3,42,0.9988974641675854,0.99888826615178,0.99888826615178,0.9999963228207887,0.9999969383059105,0.001212856276531231
rawnet3,43,0.9994487320837927,0.9994441330758899,0.9994441330758899,0.9999987742735962,0.9999989790510366,0.0006064281382656155
rawnet3,44,0.9986218302094818,0.9986104028429902,0.9986356132968026,0.9999972421155915,0.9999977040550465,0.001212856276531231
resnet-voxceleb,42,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,43,1.0,1.0,1.0,1.0,1.0,0.0
resnet-voxceleb,44,1.0,1.0,1.0,1.0,1.0,0.0
unispeech-sat-b,42,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998584286003644,0.9999043624588287,0.0005053057099545225
unispeech-sat-b,43,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998538321263503,0.999901860413824,0.0005053057099545225
unispeech-sat-b,44,0.9997243660418964,0.999722080568598,0.9997473471450227,0.9998584286003644,0.9999043624588287,0.0005053057099545225
w2v2-en-b,42,0.9746416758544653,0.9744249177140332,0.9743289990626257,0.9976760227384506,0.9980776098383796,0.025469981807155852
w2v2-en-b,43,0.9773980154355016,0.9771832299470491,0.9766532827557761,0.9979659070329423,0.998315651756729,0.024863553668890235
w2v2-en-b,44,0.976295479603087,0.9760804314734199,0.9757437937641782,0.997935570304449,0.9982917416511126,0.025265285497726123
w2v2-zh-b,42,0.9986218302094818,0.9986101209095204,0.9985344908684914,0.9999954035259859,0.9999961730710447,0.001212856276531231
w2v2-zh-b,43,0.9988974641675854,0.9988881533784446,0.9988377049376242,0.9999944842311831,0.999995405902057,0.001212856276531231
w2v2-zh-b,44,0.9988974641675854,0.99888826615178,0.99888826615178,0.9999935649363803,0.9999946308454097,0.001212856276531231
wavlm-b,42,0.9994487320837927,0.9994440766892223,0.9993935718617344,0.999999693568399,0.999999744795096,0.0005053057099545225
wavlm-b,43,0.9988974641675854,0.9988881533784446,0.9988377049376242,0.9999990807051972,0.9999992351578557,0.0005053057099545225
wavlm-b,44,0.9991730981256891,0.9991660725457121,0.9990903577926016,0.9999990807051972,0.9999992351578557,0.0005053057099545225
whisper-base,42,1.0,1.0,1.0,1.0,1.0,0.0
whisper-base,43,1.0,1.0,1.0,1.0,1.0,0.0
whisper-base,44,0.9997243660418964,0.999722052463287,0.9996967859308672,1.0,1.0,0.0
xvect-voxceleb,42,0.9997243660418964,0.999722080568598,0.9997473471450227,1.0,1.0,0.0
xvect-voxceleb,43,1.0,1.0,1.0,1.0,1.0,0.0
xvect-voxceleb,44,0.9994487320837927,0.9994441891105188,0.9994946942900456,1.0,1.0,0.0
