model,acc,mprec,mrec,mf1,wf1,uar
ecapa-tdnn,0.8084±0.0012,0.7187±0.0323,0.6782±0.0006,0.6821±0.0113,0.8063±0.0034,0.6782±0.0006
w2v2-en-b,0.6418±0.0161,0.5288±0.0147,0.5321±0.0068,0.5003±0.0098,0.6412±0.0143,0.5321±0.0068
w2v2-zh-b,0.6919±0.0166,0.6219±0.0070,0.6269±0.0109,0.6068±0.0168,0.6871±0.0202,0.6269±0.0109
hubert-en-b,0.8497±0.0043,0.7784±0.0036,0.7538±0.0033,0.7515±0.0030,0.8501±0.0034,0.7538±0.0033
hubert-zh-b,0.8931±0.0038,0.8453±0.0038,0.8339±0.0032,0.8342±0.0049,0.8941±0.0035,0.8339±0.0032
wavlm-b,0.8301±0.0025,0.7633±0.0048,0.7476±0.0030,0.7439±0.0056,0.8335±0.0024,0.7476±0.0030
data2vec-audio-b,0.7323±0.0025,0.6240±0.0032,0.6266±0.0019,0.6018±0.0024,0.7331±0.0024,0.6266±0.0019
unispeech-sat-b,0.8348±0.0095,0.7720±0.0044,0.7315±0.0060,0.7325±0.0083,0.8371±0.0082,0.7315±0.0060
whisper-base,0.8550±0.0012,0.7783±0.0051,0.7722±0.0052,0.7618±0.0068,0.8531±0.0020,0.7722±0.0052
resnet-voxceleb,0.8485±0.0080,0.8147±0.0069,0.7034±0.0216,0.7108±0.0255,0.8438±0.0097,0.7034±0.0216
rawnet3,0.8659±0.0014,0.8118±0.0037,0.7804±0.0068,0.7800±0.0047,0.8684±0.0013,0.7804±0.0068
xvect-voxceleb,0.8149±0.0249,0.7623±0.0274,0.7446±0.0190,0.7088±0.0425,0.8124±0.0313,0.7446±0.0190
